_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"280,2026-03-01,CGH,719,""767788,23"",12,2019"
"281,2026-03-01,UFV,3769,""2473431,90"",12,2019"
"282,2026-03-01,CGU,1,""50,00"",12,2019"
"283,2026-03-01,PCH,423,""5291461,57"",12,2019"
"284,2026-03-01,UHE,217,""102998876,00"",12,2019"
"285,2026-03-01,UTE,3035,""41127061,59"",12,2019"
"286,2026-03-01,UTN,2,""1990000,00"",12,2019"
"287,2026-03-01,EOL,606,""14872792,86"",3 ,2019"
"288,2026-03-01,CGH,698,""708002,22"",3 ,2019"
"289,2026-03-01,UFV,2469,""2074002,16"",3 ,2019"
"290,2026-03-01,CGU,1,""50,00"",3 ,2019"
"291,2026-03-01,PCH,426,""5183755,57"",3 ,2019"
"292,2026-03-01,UHE,217,""98581477,99"",3 ,2019"
"293,2026-03-01,UTE,3009,""40438359,89"",3 ,2019"
"294,2026-03-01,UTN,2,""1990000,00"",3 ,2019"
"295,2026-03-01,EOL,614,""15063892,86"",6 ,2019"
"296,2026-03-01,CGH,703,""717037,29"",6 ,2019"
"297,2026-03-01,UFV,2474,""2103238,52"",6 ,2019"
"298,2026-03-01,CGU,1,""50,00"",6 ,2019"
"299,2026-03-01,PCH,426,""5228425,57"",6 ,2019"
"300,2026-03-01,UHE,217,""99922633,55"",6 ,2019"
"301,2026-03-01,UTE,3014,""40453558,89"",6 ,2019"
"302,2026-03-01,UTN,2,""1990000,00"",6 ,2019"
"303,2026-03-01,EOL,618,""15145092,86"",9 ,2019"
"304,2026-03-01,CGH,713,""744223,59"",9 ,2019"
"305,2026-03-01,UFV,3052,""2267553,52"",9 ,2019"
"306,2026-03-01,CGU,1,""50,00"",9 ,2019"
"307,2026-03-01,PCH,425,""5232465,57"",9 ,2019"
"308,2026-03-01,UHE,217,""100834417,11"",9 ,2019"
"309,2026-03-01,UTE,3022,""40948974,49"",9 ,2019"
"310,2026-03-01,UTN,2,""1990000,00"",9 ,2019"
"311,2026-03-01,EOL,681,""17131162,86"",12,2020"
"312,2026-03-01,CGH,737,""815528,84"",12,2020"
"313,2026-03-01,UFV,3912,""3287114,25"",12,2020"
"314,2026-03-01,CGU,1,""50,00"",12,2020"
"315,2026-03-01,PCH,421,""5428681,57"",12,2020"
"316,2026-03-01,UHE,219,""103026876,00"",12,2020"
"317,2026-03-01,UTE,3069,""42980099,39"",12,2020"
"318,2026-03-01,UTN,2,""1990000,00"",12,2020"
"319,2026-03-01,EOL,636,""15495027,86"",3 ,2020"
"320,2026-03-01,CGH,731,""794686,23"",3 ,2020"
"321,2026-03-01,UFV,3885,""2679046,35"",3 ,2020"
"322,2026-03-01,CGU,1,""50,00"",3 ,2020"
